"T","T_star","f","h","Points:0","Points:1","Points:2"
2.60000e+02,-1.31494e+01,0.00000e+00,-2.68248e+04,4.70000e-02,1.00000e-03,0.00000e+00
2.60000e+02,-1.31495e+01,0.00000e+00,-2.68250e+04,4.80000e-02,1.00000e-03,0.00000e+00
2.60000e+02,-1.31496e+01,0.00000e+00,-2.68251e+04,4.90000e-02,1.00000e-03,0.00000e+00
2.60000e+02,-1.31496e+01,0.00000e+00,-2.68252e+04,5.00000e-02,1.00000e-03,0.00000e+00
2.60000e+02,-1.31496e+01,0.00000e+00,-2.68251e+04,5.10000e-02,1.00000e-03,0.00000e+00
2.60000e+02,-1.31495e+01,0.00000e+00,-2.68250e+04,5.20000e-02,1.00000e-03,0.00000e+00
2.60000e+02,-1.31494e+01,0.00000e+00,-2.68248e+04,5.30000e-02,1.00000e-03,0.00000e+00
2.60000e+02,-1.31493e+01,0.00000e+00,-2.68246e+04,5.40000e-02,1.00000e-03,0.00000e+00
2.60001e+02,-1.31491e+01,0.00000e+00,-2.68242e+04,5.50000e-02,1.00000e-03,0.00000e+00
2.60002e+02,-1.31488e+01,0.00000e+00,-2.68237e+04,5.60000e-02,1.00000e-03,0.00000e+00
2.60002e+02,-1.31485e+01,0.00000e+00,-2.68230e+04,5.70000e-02,1.00000e-03,0.00000e+00
2.60002e+02,-1.31481e+01,0.00000e+00,-2.68221e+04,5.80000e-02,1.00000e-03,0.00000e+00
2.60002e+02,-1.31475e+01,0.00000e+00,-2.68209e+04,5.90000e-02,1.00000e-03,0.00000e+00
2.60003e+02,-1.31468e+01,0.00000e+00,-2.68195e+04,6.00000e-02,1.00000e-03,0.00000e+00
2.60004e+02,-1.31459e+01,0.00000e+00,-2.68177e+04,6.10000e-02,1.00000e-03,0.00000e+00
2.60005e+02,-1.31448e+01,0.00000e+00,-2.68154e+04,6.20000e-02,1.00000e-03,0.00000e+00
2.60007e+02,-1.31434e+01,0.00000e+00,-2.68126e+04,6.30000e-02,1.00000e-03,0.00000e+00
2.60008e+02,-1.31417e+01,0.00000e+00,-2.68090e+04,6.40000e-02,1.00000e-03,0.00000e+00
2.60010e+02,-1.31396e+01,0.00000e+00,-2.68047e+04,6.50000e-02,1.00000e-03,0.00000e+00
2.60013e+02,-1.31369e+01,0.00000e+00,-2.67993e+04,6.60000e-02,1.00000e-03,0.00000e+00
2.60016e+02,-1.31337e+01,0.00000e+00,-2.67927e+04,6.70000e-02,1.00000e-03,0.00000e+00
2.60020e+02,-1.31298e+01,0.00000e+00,-2.67847e+04,6.80000e-02,1.00000e-03,0.00000e+00
2.60025e+02,-1.31250e+01,0.00000e+00,-2.67751e+04,6.90000e-02,1.00000e-03,0.00000e+00
2.60031e+02,-1.31193e+01,0.00000e+00,-2.67634e+04,7.00000e-02,1.00000e-03,0.00000e+00
2.60038e+02,-1.31124e+01,0.00000e+00,-2.67493e+04,7.10000e-02,1.00000e-03,0.00000e+00
2.60046e+02,-1.31042e+01,0.00000e+00,-2.67325e+04,7.20000e-02,1.00000e-03,0.00000e+00
2.60056e+02,-1.30943e+01,0.00000e+00,-2.67125e+04,7.30000e-02,1.00000e-03,0.00000e+00
2.60067e+02,-1.30827e+01,0.00000e+00,-2.66888e+04,7.40000e-02,1.00000e-03,0.00000e+00
